"선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
"양의지","NC",118,459,390,138,20,61,68,48,43,4,0.354,0.354,0.438,0.574,1.012,0.441,7.02
"김하성","Hero",139,625,540,166,19,112,104,70,80,33,0.328,0.307,0.389,0.491,0.88,0.389,6.77
"최정","SK",141,606,503,147,29,86,99,70,92,3,0.303,0.292,0.399,0.519,0.918,0.403,6.63
"샌즈","Hero",139,613,525,160,28,100,113,77,101,1,0.329,0.305,0.396,0.543,0.939,0.411,6.09
"로하스","KT",142,578,521,168,24,68,104,49,120,4,0.377,0.322,0.381,0.53,0.911,0.396,5.56
"박병호","Hero",122,532,432,121,33,92,98,78,117,0,0.302,0.28,0.398,0.56,0.958,0.414,5.14
"페르난데스","두산",144,645,572,197,15,87,88,61,54,1,0.358,0.344,0.409,0.483,0.892,0.397,4.81
"이정후","Hero",140,630,574,193,6,91,68,45,40,13,0.352,0.336,0.386,0.456,0.842,0.381,4.81
"박민우","NC",125,526,468,161,1,89,45,41,40,18,0.37,0.344,0.403,0.434,0.837,0.382,4.71
"강백호","KT",116,505,438,147,13,72,65,61,87,9,0.392,0.336,0.416,0.495,0.911,0.405,4.6
"러프","삼성",133,568,472,138,22,80,101,80,87,6,0.312,0.292,0.396,0.515,0.911,0.399,4.53
"박건우","두산",127,537,458,146,10,83,64,61,57,12,0.338,0.319,0.397,0.465,0.862,0.388,4.49
"최형우","KIA",136,555,456,137,17,65,86,85,77,0,0.326,0.3,0.413,0.485,0.898,0.401,4.47
"로맥","SK",137,589,504,139,29,86,95,73,117,6,0.302,0.276,0.37,0.508,0.878,0.385,4.1
"전준우","롯데",141,606,545,164,22,85,83,46,71,8,0.309,0.301,0.359,0.481,0.84,0.369,3.84
"박석민","NC",112,444,360,96,19,49,74,65,69,1,0.28,0.267,0.393,0.478,0.871,0.391,3.76
"황재균","KT",124,507,448,127,20,78,67,52,71,10,0.296,0.283,0.358,0.467,0.825,0.366,3.67
"최재훈","한화",135,451,373,108,3,47,31,56,61,3,0.337,0.29,0.399,0.362,0.761,0.361,3.62
"민병헌","롯데",101,420,369,112,9,52,43,42,55,13,0.334,0.304,0.379,0.453,0.832,0.375,3.45
"오재일","두산",129,529,467,137,21,76,102,55,99,2,0.33,0.293,0.369,0.495,0.864,0.381,3.45
"이천웅","LG",138,613,546,168,2,88,48,57,82,21,0.359,0.308,0.378,0.374,0.752,0.349,3.41
"박세혁","두산",137,505,441,123,4,58,63,41,68,8,0.317,0.279,0.345,0.39,0.735,0.337,3.36
"유한준","KT",139,562,501,159,14,61,86,52,61,3,0.337,0.317,0.383,0.443,0.826,0.373,3.22
"유강남","LG",132,468,418,113,16,44,49,30,82,0,0.298,0.27,0.334,0.438,0.772,0.341,3.2
"터커","KIA",95,399,357,111,9,50,50,38,44,0,0.334,0.311,0.381,0.479,0.86,0.383,3.02
"오지환","LG",134,547,473,119,9,63,53,57,113,27,0.311,0.252,0.339,0.378,0.717,0.33,3
"박동원","Hero",112,361,317,94,10,50,55,34,56,1,0.333,0.297,0.367,0.445,0.812,0.366,2.99
"김재호","두산",130,470,377,101,4,51,48,67,58,3,0.298,0.268,0.379,0.358,0.737,0.344,2.87
"김재환*","두산",136,574,495,140,15,76,91,63,113,3,0.331,0.283,0.362,0.434,0.796,0.356,2.86
"김현수","LG",140,595,526,160,11,75,82,54,52,3,0.316,0.304,0.37,0.437,0.807,0.356,2.77
"안치홍","KIA",105,408,362,114,5,45,49,40,37,4,0.335,0.315,0.38,0.412,0.792,0.36,2.74
"호잉","한화",124,525,476,135,18,74,73,38,90,22,0.314,0.284,0.34,0.46,0.8,0.35,2.73
"김상수","삼성",129,543,468,127,5,76,38,50,67,21,0.305,0.271,0.358,0.355,0.713,0.333,2.63
"이재원","SK",139,502,451,121,12,33,75,34,59,1,0.282,0.268,0.327,0.39,0.717,0.322,2.53
"김선빈","KIA",121,447,394,115,3,55,40,43,26,5,0.304,0.292,0.36,0.371,0.731,0.337,2.36
"서건창","Hero",113,486,426,128,2,67,41,49,50,17,0.332,0.3,0.373,0.383,0.756,0.348,2.35
"이창진","KIA",133,470,400,108,6,57,48,57,92,8,0.332,0.27,0.363,0.383,0.746,0.344,2.33
"이형종","LG",120,482,419,120,13,56,63,42,78,6,0.317,0.286,0.358,0.442,0.8,0.356,2.3
"한동민","SK",125,502,427,113,12,52,52,56,100,0,0.321,0.265,0.375,0.396,0.771,0.355,2.3
"채은성","LG",128,514,470,148,12,59,72,24,67,2,0.341,0.315,0.358,0.434,0.792,0.354,2.25
"노진혁","NC",110,390,348,92,13,51,43,31,80,0,0.306,0.264,0.326,0.454,0.78,0.342,2.2
"허경민","두산",133,540,475,137,4,71,60,34,36,11,0.298,0.288,0.35,0.371,0.721,0.329,2.12
"손아섭","롯데",134,568,512,151,10,78,63,52,92,13,0.342,0.295,0.36,0.4,0.76,0.346,2.1
"이성열","한화",129,476,414,106,21,60,85,48,114,8,0.3,0.256,0.343,0.464,0.807,0.357,2.01
"이원석","삼성",111,455,395,97,19,44,76,43,74,2,0.252,0.246,0.327,0.441,0.768,0.34,1.98
"정수빈","두산",123,513,441,117,0,75,41,57,60,26,0.303,0.265,0.354,0.331,0.685,0.325,1.96
"강민호","삼성",112,393,346,81,13,36,45,33,76,0,0.262,0.234,0.315,0.405,0.72,0.321,1.96
