"거래금액","건축년도","거래일","시도명","시군구","법정동","지번","전용면적","층"
"   132,000",2005,20190103,"서울시","강남구"," 역삼동","755-4",59.606,14
"    61,000",2004,20190105,"서울시","강남구"," 역삼동","826-29",59.81,8
"   132,000",2005,20190111,"서울시","강남구"," 역삼동","755-4",59.606,12
"    19,500",2014,20190116,"서울시","강남구"," 역삼동","735-15",15.25,14
"   130,000",2014,20190123,"서울시","강남구"," 역삼동","709-5",84.641,8
"   172,500",2005,20190126,"서울시","강남구"," 역삼동","755-4",84.991,7
"   180,000",2002,20190131,"서울시","강남구"," 역삼동","760-7",165.23,5
"    88,200",1992,20190109,"서울시","강남구"," 개포동","12",39.53,8
"   197,000",1984,20190112,"서울시","강남구"," 개포동","652",133.46,12
"   102,000",1993,20190113,"서울시","강남구"," 개포동","1242-2",132.63,6
"   101,900",1992,20190114,"서울시","강남구"," 개포동","12",49.86,14
"   140,500",1982,20190115,"서울시","강남구"," 개포동","189",42.55,3
"   143,440",1991,20190116,"서울시","강남구"," 개포동","651-1",81.42,7
"   139,000",1982,20190121,"서울시","강남구"," 개포동","189",42.55,4
"   176,000",1983,20190122,"서울시","강남구"," 개포동","187",83.17,9
"   152,000",1986,20190123,"서울시","강남구"," 개포동","177",84.87,9
"   132,000",1983,20190125,"서울시","강남구"," 개포동","185",60.76,6
"   135,000",1983,20190125,"서울시","강남구"," 개포동","185",60.13,8
"   229,500",1984,20190126,"서울시","강남구"," 개포동","649",182.2,6
"   137,000",1982,20190126,"서울시","강남구"," 개포동","189",41.99,1
"    87,500",1992,20190126,"서울시","강남구"," 개포동","12",39.53,15
"   182,500",2004,20190111,"서울시","강남구"," 청담동","110-4",148.5,4
"   162,000",1999,20190117,"서울시","강남구"," 청담동","42",114.83,11
"   145,000",2002,20190119,"서울시","강남구"," 청담동","30-33",81.84,4
"   170,000",2004,20190121,"서울시","강남구"," 청담동","110-13",147.91,2
"   285,000",2010,20190121,"서울시","강남구"," 청담동","102-1",217.2,1
"   348,000",1999,20190123,"서울시","강남구"," 청담동","117-3",244.95,5
"   195,000",1997,20190124,"서울시","강남구"," 청담동","113-16",197.8,2
"   133,000",2011,20190131,"서울시","강남구"," 청담동","134-38",49.639,3
"   260,000",1981,20190104,"서울시","강남구"," 삼성동","79",162.47,3
"   147,000",2004,20190105,"서울시","강남구"," 삼성동","14-1",59.98,8
"   165,500",2000,20190111,"서울시","강남구"," 삼성동","17",91.77,11
"   299,000",2009,20190120,"서울시","강남구"," 삼성동","8-2",219.48,15
"   227,000",2004,20190124,"서울시","강남구"," 삼성동","14-1",152.98,1
"   121,000",2007,20190126,"서울시","강남구"," 삼성동","144-14",84.97,11
"   210,000",2010,20190129,"서울시","강남구"," 삼성동","82-1",169.28,2
"   200,000",2008,20190131,"서울시","강남구"," 삼성동","50",84.349,5
"   175,000",2000,20190104,"서울시","강남구"," 대치동","1014-3",97.35,10
"    23,750",2004,20190104,"서울시","강남구"," 대치동","890-49",25.42,14
"   150,000",1999,20190108,"서울시","강남구"," 대치동","974",85,11
"   175,000",1985,20190108,"서울시","강남구"," 대치동","511",84.96,3
"   185,000",1983,20190111,"서울시","강남구"," 대치동","511",84.48,13
"    86,000",2005,20190112,"서울시","강남구"," 대치동","934-1",84.9,4
"   156,800",1979,20190114,"서울시","강남구"," 대치동","316",76.79,10
"   157,000",1979,20190116,"서울시","강남구"," 대치동","316",76.79,10
"   238,000",1983,20190119,"서울시","강남구"," 대치동","506",117.7,6
"   140,000",1979,20190124,"서울시","강남구"," 대치동","316",76.79,1
"   179,000",1983,20190124,"서울시","강남구"," 대치동","511",84.48,2
"   256,000",2005,20190131,"서울시","강남구"," 대치동","670",121.74,16
"   151,200",1979,20190131,"서울시","강남구"," 대치동","316",76.79,4
"    92,000",1996,20190112,"서울시","강남구"," 신사동","622",59.67,3
"    80,000",2005,20190130,"서울시","강남구"," 신사동","606-2",135.72,4
"   415,000",1978,20190105,"서울시","강남구"," 압구정동","456",196.7,7
"   390,000",1984,20190108,"서울시","강남구"," 압구정동","510",210.1,13
"   228,500",1983,20190110,"서울시","강남구"," 압구정동","448",108.47,3
"   395,000",1979,20190115,"서울시","강남구"," 압구정동","456",196.7,5
"   302,000",1979,20190115,"서울시","강남구"," 압구정동","456",144.2,6
"   230,000",1983,20190116,"서울시","강남구"," 압구정동","433",183.41,6
"   285,000",1980,20190119,"서울시","강남구"," 압구정동","481",163.67,5
"   127,000",2014,20190110,"서울시","강남구"," 자곡동","611",91.96,3
"   120,000",2014,20190123,"서울시","강남구"," 자곡동","611",91.95,7
"   173,000",2018,20190107,"서울시","강남구"," 일원동","741",84.99,12
"   150,000",1994,20190122,"서울시","강남구"," 일원동","718",101.97,5
"    79,000",1992,20190110,"서울시","강남구"," 수서동","708",49.2,3
"   190,000",2016,20190115,"서울시","강남구"," 수서동","537",114.4856,5
"    37,000",2006,20190107,"서울시","강남구"," 도곡동","953-1",33.8,17
"   185,000",1999,20190107,"서울시","강남구"," 도곡동","467-6",177.255,8
"   265,000",2002,20190111,"서울시","강남구"," 도곡동","467",164.95,18
