"가격","제조사","종류","주행거리","변속기","연료형태","색상","사고여부","연식개월","차주변경"
633,"현대","중형차",134359,"오토","LPG","검정색","N",114,1
649,"기아","중형차",121017,"오토","가솔린","흰색","N",131,6
330,"현대","중형차",109554,"오토","가솔린","검정색","N",181,1
890,"기아","중형차",137883,"오토","LPG","은색","N",77,3
1150,"기아","중형차",132653,"오토","LPG","진주색","N",75,3
1399,"기아","중형차",70000,"오토","디젤","청색","N",76,1
1530,"기아","중형차",40909,"오토","LPG","검정색","N",51,1
1300,"기아","중형차",57791,"오토","가솔린","청색","Y",73,2
970,"현대","중형차",127290,"오토","LPG","진주색","N",63,2
1570,"현대","중형차",62752,"오토","LPG","은회색","N",62,1
890,"기아","중형차",164780,"오토","가솔린","흰색","N",107,3
1059,"현대","중형차",114650,"오토","가솔린","검정색","Y",66,1
1870,"현대","중형차",46000,"오토","가솔린","검정색","N",56,3
1544,"현대","중형차",103125,"오토","가솔린","쥐색","N",61,1
340,"현대","중형차",89252,"오토","가솔린","은색","Y",157,3
890,"현대","중형차",110805,"오토","가솔린","흰색","Y",91,2
1420,"기아","중형차",62845,"오토","가솔린","검정색","N",60,1
790,"기아","중형차",114420,"오토","가솔린","흰색","N",136,1
1720,"기아","중형차",21371,"오토","가솔린","흰색","N",43,1
1510,"현대","중형차",78747,"오토","가솔린","검정색","N",55,3
690,"기아","중형차",152445,"오토","LPG","흰색","N",94,2
330,"현대","중형차",166221,"오토","가솔린","은색","Y",154,3
350,"현대","중형차",166428,"오토","가솔린","검정색","Y",153,9
1650,"현대","중형차",26752,"오토","가솔린","청색","N",48,1
1430,"현대","중형차",101761,"오토","가솔린","검정색","N",61,3
1520,"기아","중형차",52900,"오토","LPG","흰색","N",57,3
1210,"현대","중형차",63248,"오토","LPG","흰색","N",67,3
1260,"기아","중형차",68373,"오토","LPG","흰색","N",59,1
1160,"기아","중형차",114132,"오토","LPG","흰색","Y",80,3
430,"기아","중형차",233376,"오토","LPG","은색","N",103,2
795,"기아","중형차",160000,"오토","LPG","검정색","N",94,3
880,"기아","중형차",162381,"오토","LPG","쥐색","N",95,3
1430,"기아","중형차",51477,"오토","LPG","검정색","N",59,2
920,"현대","중형차",120111,"오토","가솔린","흰색","N",120,2
280,"현대","중형차",86747,"오토","가솔린","흰색","N",178,0
770,"기아","중형차",123280,"오토","가솔린","진주색","N",141,3
