"국가",2019,2020,2021
"아프가니스탄",520,500,-
"아르메니아",4660,4220,4560
"아제르바이잔",4510,4480,4880
"바레인",22230,19930,-
"방글라데시",2250,2340,2620
"부탄",3150,2840,-
"브루나이",32230,31510,-
"캄보디아",1530,1510,1550
"중국",10310,10530,11890
"키프로스",28600,26490,28130
"조지아",4690,4260,4740
"홍콩",50480,48560,54450
"인도",2100,1910,2170
"인도네시아",4050,3870,4140
"이란",4260,3370,-
"이라크",5780,4990,5040
"이스라엘",43540,42610,49560
"일본",42010,40810,42620
"요르단",4410,4310,4480
"카자흐스탄",8820,8710,8720
"대한민국",33830,32930,34980
"쿠웨이트",36200,-,-
"키르기스스탄",1240,1180,1180
"라오스",2540,2490,2520
"레바논",7280,4660,3450
"마카오",75820,46730,-
"말레이시아",11260,10570,10930
"몰디브",9640,6450,8400
"몽골",3850,3740,3760
"미얀마",1270,1340,1140
"네팔",1230,1190,1230
"오만",16430,15030,-
"파키스탄",1620,1460,1500
"필리핀",3850,3430,3640
"카타르",61180,55920,57120
"사우디아라비아",23220,22270,-
"싱가포르",58060,55010,64010
"스리랑카",4010,3720,3820
"타지키스탄",1070,1050,1150
"태국",7250,7070,7260
"동티모르",2050,1990,1940
"튀르키예",9690,9040,9830
"투르크메니스탄",7220,-,-
"아랍에미리트",43830,39410,-
"우즈베키스탄",1870,1740,1960
"베트남",3280,3390,3560
"예멘",820,670,-
"버뮤다",117290,111750,116540
"캐나다",46540,43540,48310
"멕시코",9470,8530,9380
"미국",65970,64140,70430
"앤티가바부다",16420,13750,14900
"아르헨티나",11260,9080,10050
"아루바",28920,23070,-
"바하마",32420,24290,27220
"바베이도스",17130,15750,16720
"벨리즈",4610,3930,4290
"볼리비아",3520,3190,3360
"브라질",9220,7800,7720
"케이맨제도",66880,63370,-
"칠레",14900,13120,15000
"콜롬비아",6570,5830,6160
"코스타리카",12120,11580,12310
"도미니카연방",8210,7140,7760
"도미니카공화국",8100,7270,8220
"에콰도르",6090,5540,5930
"엘살바도르",3980,3630,4140
"그레나다",9750,8910,9630
"과테말라",4610,4490,4940
"가이아나",6630,8220,9380
"아이티",1390,1320,1420
"온두라스",2390,2190,2540
"자메이카",5250,4670,4800
"니카라과",1890,1770,2010
"파나마",14920,12420,14010
"파라과이",5510,5150,5340
"페루",6840,6060,6520
"푸에르토리코",22060,21160,-
"세인트키츠네비스",21150,18440,18560
"세인트루시아",10840,8910,9680
"세인트빈센트그레나딘",8140,7790,8100
"수리남",6190,4620,4440
"트리니다드토바고",16740,15910,15070
"터크스케이커스제도",30120,22430,23600
"우루과이",17770,15740,15800
"알바니아",5230,5260,6110
"안도라",46040,-,-
"오스트리아",51010,48360,52210
"벨라루스",6370,6280,6950
"벨기에",48050,45810,50510
"보스니아-헤르체고비나",6170,6080,6770
"불가리아",9500,9630,10720
"크로아티아",15540,14810,17150
"체코",22110,22130,24070
"덴마크",63460,63010,68110
"에스토니아",23050,23040,25970
"유로지역",40312,38139,41722
"핀란드",49940,50080,53660
"프랑스",42550,39500,43880
"독일",49190,47520,51040
