"","선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
"1","로하스","KT",142,628,550,192,47,116,135,65,132,0,0.383,0.349,0.417,0.68,1.097,0.457,8.76
"2","양의지","NC",130,528,461,151,33,86,124,46,47,5,0.305,0.328,0.4,0.603,1.003,0.423,6.92
"3","김하성","키움",138,622,533,163,30,111,109,75,68,23,0.304,0.306,0.397,0.523,0.92,0.401,6.81
"4","최형우","KIA",140,600,522,185,28,93,115,70,101,0,0.396,0.354,0.433,0.59,1.023,0.441,6.74
"5","터커","KIA",142,631,542,166,32,100,113,76,67,0,0.3,0.306,0.398,0.557,0.955,0.412,6.1
"6","나성범","NC",130,583,525,170,34,115,112,48,148,3,0.395,0.324,0.389,0.596,0.985,0.421,5.64
"7","최정","SK",133,553,452,122,33,90,96,75,98,8,0.272,0.27,0.392,0.538,0.93,0.403,5.57
"8","이정후","키움",140,617,544,181,15,85,101,59,47,12,0.339,0.333,0.397,0.524,0.921,0.4,5.54
"9","손아섭","롯데",141,611,540,190,11,98,85,61,56,5,0.373,0.352,0.415,0.493,0.908,0.402,5.44
"10","강백호","KT",129,574,500,165,23,95,89,66,93,7,0.367,0.33,0.411,0.544,0.955,0.413,5.17
"11","황재균","KT",134,600,541,169,21,108,97,47,98,11,0.347,0.312,0.37,0.512,0.882,0.385,5.02
"12","로맥","SK",139,586,485,137,32,85,91,91,116,4,0.308,0.282,0.399,0.546,0.945,0.407,4.94
"13","김현수","LG",142,619,547,181,22,98,119,63,53,0,0.332,0.331,0.397,0.523,0.92,0.398,4.87
"14","박석민","NC",123,448,356,109,14,58,63,75,62,0,0.335,0.306,0.436,0.466,0.902,0.408,4.82
"15","박민우","NC",126,530,467,161,8,82,63,36,48,13,0.364,0.345,0.402,0.478,0.88,0.391,4.72
"16","페르난데스","두산",144,668,586,199,21,104,105,58,42,0,0.333,0.34,0.404,0.497,0.901,0.397,4.58
"17","알테어","NC",136,546,482,134,31,90,108,46,149,22,0.334,0.278,0.352,0.541,0.893,0.379,4.5
"18","오지환","LG",141,591,527,158,10,95,71,45,116,20,0.365,0.3,0.362,0.461,0.823,0.365,4.19
"19","김재환*","두산",140,614,516,137,30,82,113,91,154,6,0.317,0.266,0.373,0.494,0.867,0.378,3.9
"20","홍창기","LG",135,507,408,114,5,87,39,83,87,11,0.342,0.279,0.411,0.417,0.828,0.383,3.86
"21","라모스","LG",117,494,431,120,38,74,86,55,136,2,0.314,0.278,0.362,0.592,0.954,0.397,3.69
"22","최주환","두산",140,574,509,156,16,63,88,47,66,2,0.32,0.306,0.366,0.473,0.839,0.366,3.63
"23","나지완","KIA",137,556,468,136,17,73,92,64,114,0,0.347,0.291,0.392,0.444,0.836,0.377,3.45
"24","오재일","두산",127,534,471,147,16,62,89,61,92,2,0.359,0.312,0.39,0.482,0.872,0.387,3.4
"25","노진혁","NC",132,484,427,117,20,70,82,49,106,0,0.322,0.274,0.356,0.48,0.836,0.365,3.36
"26","마차도","롯데",144,560,486,136,12,79,67,54,60,15,0.294,0.28,0.356,0.422,0.778,0.348,3.35
"27","구자욱","삼성",118,510,446,137,15,70,78,51,91,19,0.355,0.307,0.385,0.478,0.863,0.381,3.28
"28","허경민","두산",117,487,437,145,7,70,58,35,28,14,0.337,0.332,0.382,0.442,0.824,0.368,3.26
"29","박건우","두산",129,551,487,148,14,103,70,42,65,8,0.323,0.304,0.369,0.472,0.841,0.371,3.23
"30","배정대","KT",144,615,533,154,13,88,65,68,142,22,0.369,0.289,0.372,0.42,0.792,0.359,3.23
"31","강민호","삼성",119,393,355,102,19,46,61,31,54,0,0.291,0.287,0.349,0.487,0.836,0.361,3.15
"32","김상수","삼성",120,471,404,123,5,71,47,55,55,10,0.341,0.304,0.397,0.401,0.798,0.368,3.14
"33","최재훈","한화",126,389,339,102,3,46,36,29,44,0,0.339,0.301,0.383,0.383,0.766,0.356,2.93
"34","최원준","KIA",123,412,359,117,2,72,35,33,35,14,0.353,0.326,0.388,0.421,0.809,0.368,2.8
"35","전준우","롯데",143,628,562,157,26,95,96,52,79,5,0.285,0.279,0.347,0.482,0.829,0.363,2.76
"36","한동희","롯데",135,531,461,128,17,62,67,57,97,0,0.317,0.278,0.361,0.436,0.797,0.357,2.74
"37","박경수","KT",119,391,324,91,13,33,58,48,96,0,0.351,0.281,0.381,0.454,0.835,0.371,2.73
"38","정훈","롯데",111,476,410,121,11,72,58,56,85,11,0.346,0.295,0.382,0.427,0.809,0.366,2.64
"39","김선빈","KIA",85,351,303,100,1,42,37,40,43,1,0.375,0.33,0.406,0.403,0.809,0.373,2.55
"40","이형종","LG",81,323,287,85,17,41,50,27,61,1,0.324,0.296,0.37,0.547,0.917,0.394,2.53
"41","정수빈","두산",141,559,490,146,5,84,59,55,56,15,0.325,0.298,0.368,0.396,0.764,0.346,2.47
"42","유강남","LG",137,478,429,112,16,51,75,32,84,1,0.29,0.261,0.33,0.415,0.745,0.331,2.31
"43","서건창","키움",135,595,484,134,5,79,52,91,58,24,0.299,0.277,0.39,0.386,0.776,0.359,2.3
"44","장성우","KT",130,455,400,111,13,39,79,38,64,0,0.298,0.278,0.337,0.41,0.747,0.332,2.27
"45","김동엽","삼성",115,451,413,129,20,60,74,29,79,4,0.343,0.312,0.36,0.508,0.868,0.376,2.09
"46","안치홍","롯데",124,460,412,118,8,49,54,35,47,14,0.306,0.286,0.351,0.413,0.764,0.343,2
"47","권희동","NC",123,426,346,90,12,67,50,58,72,3,0.292,0.26,0.379,0.41,0.789,0.36,1.98
"48","박동원","키움",112,372,324,81,12,45,50,38,68,0,0.28,0.25,0.338,0.429,0.767,0.342,1.96
"49","박준태","키움",128,443,347,85,5,71,29,65,120,5,0.356,0.245,0.389,0.331,0.72,0.348,1.93
"50","박해민","삼성",132,541,489,142,11,84,55,39,77,34,0.324,0.29,0.345,0.415,0.76,0.339,1.87
"51","김혜성","키움",142,553,499,142,7,80,61,46,94,25,0.336,0.285,0.345,0.399,0.744,0.336,1.82
"52","박세혁","두산",124,423,360,97,4,47,51,35,45,5,0.292,0.269,0.348,0.364,0.712,0.328,1.81
"53","김재호","두산",120,458,402,116,2,48,39,45,45,6,0.317,0.289,0.362,0.346,0.708,0.329,1.71
"54","이용규","한화",120,487,419,120,1,60,32,59,36,17,0.311,0.286,0.381,0.337,0.718,0.341,1.65
"55","강진성","NC",121,432,395,122,12,53,70,20,46,9,0.322,0.309,0.352,0.463,0.815,0.359,1.61
"56","살라디노","삼성",43,163,132,37,6,26,27,23,41,6,0.36,0.28,0.411,0.477,0.888,0.4,1.48
"57","조용호","KT",132,482,409,121,0,73,32,65,83,12,0.369,0.296,0.392,0.333,0.725,0.345,1.4
"58","채은성","LG",109,464,416,122,15,59,88,32,69,0,0.316,0.293,0.351,0.452,0.803,0.353,1.4
"59","한동민","SK",62,231,193,48,15,35,31,30,49,2,0.252,0.249,0.364,0.508,0.872,0.376,1.4
"60","이명기","NC",136,540,477,146,2,82,45,50,78,12,0.359,0.306,0.374,0.369,0.743,0.344,1.28
"61","이대호","롯데",144,611,542,158,20,67,110,53,68,1,0.297,0.292,0.354,0.452,0.806,0.349,1.27
"62","오윤석","롯데",63,197,168,50,4,31,32,24,47,2,0.387,0.298,0.388,0.423,0.811,0.368,1.22
"63","김준태","롯데",128,369,306,69,5,38,43,56,64,2,0.268,0.225,0.345,0.327,0.672,0.318,1.19
"64","김호재","삼성",65,138,118,38,1,19,10,16,19,2,0.378,0.322,0.416,0.39,0.806,0.377,1.15
"65","이지영","키움",101,289,262,81,0,22,36,19,28,1,0.345,0.309,0.364,0.363,0.727,0.334,1.12
"66","박병호","키움",93,383,309,69,21,56,66,57,114,0,0.264,0.223,0.352,0.45,0.802,0.351,1.06
"67","이병규","롯데",53,194,164,45,9,28,32,28,55,0,0.356,0.274,0.381,0.463,0.844,0.375,0.97
"68","이원석","삼성",121,467,403,108,13,46,74,49,82,0,0.297,0.268,0.341,0.407,0.748,0.332,0.92
"69","허정협","키움",111,360,314,84,10,45,43,40,73,0,0.319,0.268,0.353,0.401,0.754,0.342,0.9
"70","채태인","SK",71,189,160,45,7,11,24,29,33,0,0.317,0.281,0.392,0.444,0.836,0.373,0.89
"71","정은원","한화",79,303,254,63,3,28,29,41,41,1,0.284,0.248,0.362,0.335,0.697,0.33,0.89
"72","이창진","KIA",22,99,88,29,0,19,7,10,17,0,0.408,0.33,0.404,0.443,0.847,0.387,0.82
"73","김형준","NC",44,82,72,22,3,12,11,10,21,0,0.396,0.306,0.39,0.444,0.834,0.375,0.75
"74","반즈","한화",74,319,283,75,9,38,42,27,81,2,0.338,0.265,0.342,0.428,0.77,0.343,0.72
"75","강태율","롯데",14,18,11,5,2,2,2,7,2,0,0.429,0.455,0.667,1,1.667,0.651,0.68
"76","한승택","KIA",83,262,226,51,9,22,29,21,58,0,0.264,0.226,0.308,0.372,0.68,0.307,0.67
"77","김태군","NC",80,131,113,33,1,16,18,6,14,0,0.323,0.292,0.347,0.372,0.719,0.329,0.66
"78","김강민","SK",122,327,289,73,12,39,45,27,62,7,0.281,0.253,0.323,0.422,0.745,0.327,0.62
"79","황대인","KIA",63,138,116,32,4,14,16,21,29,0,0.333,0.276,0.384,0.414,0.798,0.363,0.57
"80","강한울","삼성",34,122,105,32,1,13,10,11,24,1,0.383,0.305,0.368,0.362,0.73,0.336,0.54
"81","백용환","KIA",52,107,91,20,5,12,10,15,29,0,0.263,0.22,0.33,0.429,0.759,0.337,0.53
"82","김민성","LG",87,333,297,79,5,29,47,24,67,2,0.323,0.266,0.325,0.384,0.709,0.317,0.5
"83","김웅빈","키움",73,235,207,57,8,25,31,17,65,1,0.358,0.275,0.335,0.454,0.789,0.344,0.49
"84","김성현","SK",133,392,343,93,2,34,25,30,27,1,0.287,0.271,0.336,0.321,0.657,0.306,0.49
"85","류지혁","두산",20,31,24,10,1,10,4,1,5,0,0.45,0.417,0.467,0.625,1.092,0.464,0.48
"86","오태곤","SK",54,203,184,53,5,29,30,12,31,14,0.324,0.288,0.342,0.429,0.771,0.344,0.47
"87","이해창","한화",70,135,119,32,3,11,17,9,23,0,0.305,0.269,0.336,0.387,0.723,0.326,0.46
"88","최항","SK",47,155,132,35,2,21,15,21,27,1,0.317,0.265,0.368,0.333,0.701,0.328,0.46
"89","유한준","KT",119,428,386,108,11,48,64,40,51,0,0.299,0.28,0.347,0.409,0.756,0.339,0.42
"90","하주석","한화",72,281,262,75,2,22,32,13,66,4,0.372,0.286,0.323,0.351,0.674,0.306,0.38
"91","나주환","KIA",64,222,204,57,6,21,26,12,44,0,0.329,0.279,0.321,0.392,0.713,0.318,0.38
"92","최정원","NC",49,48,40,11,0,18,2,7,13,4,0.407,0.275,0.383,0.4,0.783,0.363,0.35
