선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
안우진,Hero,15,8,0,0,0,30,30,196.0,10.29,2.53,0.18,0.268,75.4,2.11,9.51,2.21,1.89,9.24
루친스키,NC,10,12,0,0,0,31,31,193.2,9.02,1.58,0.65,0.318,72.2,2.97,6.61,2.91,2.68,7.3
고영표,KT,13,8,0,0,0,28,28,182.1,7.7,1.14,0.35,0.335,73.1,3.26,6.35,2.75,2.66,6.23
요키시,Hero,10,8,0,0,0,30,30,185.1,7.48,1.6,0.39,0.301,74.6,2.57,7.51,2.86,2.73,6.18
수아레즈,삼성,6,8,0,0,0,30,29,173.2,8.24,2.64,0.36,0.296,73.8,2.49,6.26,2.97,2.81,5.73
켈리,LG,16,4,0,0,0,27,27,166.1,8.28,1.89,0.54,0.29,78.4,2.54,7.32,2.95,2.75,5.66
박세웅,롯데,10,11,0,0,0,28,28,157.1,8.35,1.89,0.46,0.358,66.9,3.89,3.62,2.89,2.73,5.59
폰트,SSG,13,6,0,0,0,28,28,184.0,8.32,1.66,0.88,0.247,75.7,2.69,7.29,3.4,3.22,5.33
반즈,롯데,12,12,0,0,0,31,31,186.1,7.73,2.27,0.39,0.308,67.0,3.62,5.19,3.21,3.18,5.31
김광현,SSG,13,3,0,0,0,28,28,173.1,7.94,2.34,0.52,0.276,80.8,2.13,7.57,3.16,3.02,5.21
플럿코,LG,15,5,0,0,0,28,28,162.0,8.28,2.11,0.72,0.256,76.3,2.39,6.36,3.25,3.06,4.88
소형준,KT,13,6,0,0,0,27,27,171.1,6.15,2.05,0.42,0.285,70.2,3.05,5.48,3.34,3.33,4.35
놀린,KIA,8,8,0,0,0,21,21,124.0,7.84,1.74,0.51,0.3,77.3,2.47,4.52,3.08,2.98,3.78
양현종,KIA,12,7,0,0,0,30,30,175.1,7.24,2.57,0.72,0.297,67.4,3.85,3.42,3.66,3.58,3.76
원태인,삼성,10,8,0,0,0,27,27,165.1,7.08,2.07,0.87,0.314,73.0,3.92,4.55,3.73,3.65,3.7
뷰캐넌,삼성,11,8,0,0,0,26,26,160.0,6.58,2.19,0.56,0.327,77.5,3.04,5.45,3.57,3.57,3.45
구창모,NC,11,5,0,0,0,19,19,111.2,8.7,2.34,0.56,0.286,80.7,2.1,4.94,3.11,2.93,3.35
나균안,롯데,3,8,0,2,3,39,13,117.2,9.41,2.83,0.38,0.36,69.6,3.98,2.15,2.8,2.57,3.26
김윤식,LG,8,5,0,0,0,23,23,114.1,6.38,2.13,0.39,0.331,73.3,3.31,3.73,3.18,3.12,3.24
데스파이네,KT,8,12,0,0,0,30,29,163.0,6.79,2.65,0.77,0.355,68.4,4.53,2.13,3.96,3.97,2.93
엄상백,KT,11,2,0,0,0,33,22,140.1,8.91,2.95,0.9,0.294,79.2,2.95,4.22,3.73,3.55,2.82
곽빈,두산,8,9,0,0,0,27,27,147.2,8.41,3.66,0.79,0.312,74.1,3.78,3.3,4.04,3.99,2.63
스탁,두산,9,10,0,0,0,29,29,165.0,7.53,4.53,0.49,0.319,69.3,3.6,3.62,4.07,4.11,2.62
김민수,KT,5,4,3,30,5,76,0,80.2,10.15,1.67,0.33,0.303,82.1,1.9,3.28,2.24,1.95,2.37
모리만도,SSG,7,1,0,0,0,12,12,75.1,8.0,2.75,0.24,0.268,80.0,1.67,3.74,2.98,2.9,2.37
이인복,롯데,9,9,0,1,0,26,23,126.2,5.04,2.13,0.43,0.339,69.4,4.19,2.58,3.64,3.73,2.36
파노니*,KIA,3,4,0,0,0,14,14,82.2,7.95,2.61,0.54,0.308,73.2,2.72,2.73,3.31,3.18,2.34
이의리,KIA,10,10,0,0,0,29,28,154.0,9.41,4.32,1.05,0.272,71.0,3.86,3.41,4.39,4.28,2.27
스파크맨,롯데,2,4,0,0,0,19,19,84.2,9.46,4.57,0.64,0.379,65.6,5.32,1.01,3.79,3.66,2.19
고우석,LG,4,2,42,0,2,61,0,60.2,11.87,3.12,0.89,0.24,92.9,1.48,3.47,2.88,2.44,2.16
배제성,KT,3,9,0,0,0,24,18,107.0,7.49,3.87,0.67,0.307,67.7,4.21,1.93,3.97,3.92,2.14
최원준,두산,8,13,0,0,0,30,30,165.0,6.16,2.02,1.15,0.306,74.4,3.6,3.67,4.43,4.45,1.97
김재윤,KT,9,7,33,0,6,61,0,66.1,10.58,2.85,0.68,0.256,68.3,3.26,2.32,2.65,2.26,1.87
벤자민,KT,5,4,0,0,0,17,17,96.2,7.17,2.23,1.02,0.242,78.8,2.7,3.21,4.03,3.98,1.81
이용찬*,NC,3,3,22,0,4,59,0,60.2,9.05,1.93,0.45,0.308,82.6,2.08,2.91,2.76,2.56,1.77
신민혁,NC,4,9,0,0,0,26,23,118.1,7.99,2.36,1.14,0.318,70.9,4.56,2.36,4.23,4.17,1.75
정해영,KIA,3,7,32,0,4,55,0,56.0,6.91,2.89,0.48,0.3,75.2,3.38,2.7,3.41,3.34,1.68
페냐,한화,5,4,0,0,0,13,13,67.2,9.44,3.99,0.53,0.326,70.0,3.72,1.52,3.52,3.39,1.67
애플러,Hero,6,8,0,0,0,33,25,140.1,5.52,2.57,0.83,0.339,74.6,4.3,3.0,4.28,4.37,1.57
최원태,Hero,7,5,0,0,1,26,20,105.2,5.37,3.41,0.43,0.265,67.2,3.75,2.53,4.04,4.19,1.54
전상현,KIA,5,5,2,16,4,50,0,46.1,10.3,3.11,0.39,0.336,68.8,3.3,1.07,2.52,2.19,1.51
구승민,롯데,2,4,0,26,1,73,0,62.0,11.18,5.08,0.44,0.299,79.7,2.9,2.33,3.04,2.73,1.49
김민우,한화,6,11,0,0,0,29,29,163.0,7.12,4.64,0.88,0.274,72.0,4.36,3.88,4.58,4.63,1.44
이영하,두산,6,8,0,0,0,21,20,98.2,7.57,5.2,0.46,0.342,64.8,4.93,0.84,4.2,4.27,1.43
오원석,SSG,6,8,0,0,1,31,24,144.0,7.0,3.62,1.0,0.323,71.2,4.5,2.38,4.48,4.47,1.37
최준용,롯데,3,4,14,6,3,68,0,71.0,10.14,2.54,1.27,0.294,72.0,4.06,1.84,3.89,3.66,1.23
한승혁,KIA,4,3,0,0,1,24,16,80.1,7.73,4.48,0.45,0.378,67.0,5.27,0.64,3.99,4.03,1.21
김원중,롯데,2,3,17,2,3,43,0,43.0,12.56,3.35,0.84,0.35,69.4,3.98,0.69,2.67,2.16,1.17
홍건희,두산,2,9,18,9,4,58,0,62.0,8.71,3.05,0.73,0.31,68.9,3.48,1.17,3.42,3.25,1.14
노경은,SSG,12,5,1,7,4,41,8,79.2,6.21,2.6,0.56,0.275,76.4,3.05,2.89,3.79,3.84,1.11
장시환,한화,0,5,14,9,5,64,0,63.2,9.47,4.66,0.57,0.315,63.2,4.38,0.89,3.47,3.28,1.09
