Y	,	X1	,	X2	,	X3	,	X4	,	X5	,	X6	,	X7	,	X8	,	X9	,	X10	,	X11	,	X12	,	X13	,	X14	,	X15	,	X16	,	X17	,	X18	,	X19	,	X20
218.2360702	,	11	,	2539.9118	,	1366.164503	,	351.0016	,	10.0288	,	0.515141	,	99.9427	,	3.2225	,	31.2943	,	33.3943	,	-0.0227803	,	-2.19889	,	64.759	,	43.5399	,	3.8801	,	665.867	,	730.327	,	0.208962	,	137.421	,	Middle
223.4312722	,	11	,	2539.9118	,	1366.164503	,	351.0016	,	10.0288	,	0.515141	,	99.9427	,	3.2225	,	31.2943	,	33.3943	,	-0.0227803	,	-2.19889	,	64.759	,	43.5399	,	3.8801	,	665.867	,	730.327	,	0.208962	,	137.421	,	Middle
230.0269801	,	11	,	2539.9118	,	1366.164503	,	351.0016	,	10.0288	,	0.515141	,	99.9427	,	3.2225	,	31.2943	,	33.3943	,	-0.0227803	,	-2.19889	,	64.759	,	43.5399	,	3.8801	,	665.867	,	730.327	,	0.208962	,	137.421	,	Middle
226.4831714	,	11	,	2539.9118	,	1366.164503	,	351.0016	,	10.0288	,	0.515141	,	99.9427	,	3.2225	,	31.2943	,	33.3943	,	-0.0227803	,	-2.19889	,	64.759	,	43.5399	,	3.8801	,	665.867	,	730.327	,	0.208962	,	137.421	,	Middle
230.8911836	,	10	,	2525.4065	,	1360.837344	,	343.8719	,	9.79299	,	0.532531	,	102.896	,	3.3056	,	30.503	,	32.603	,	-0.022318	,	-2.23142	,	67.6617	,	45.727	,	3.8981	,	691.591	,	732.182	,	0.182436	,	137.111	,	Middle
228.7679168	,	10	,	2525.4065	,	1360.837344	,	343.8719	,	9.79299	,	0.532531	,	102.896	,	3.3056	,	30.503	,	32.603	,	-0.022318	,	-2.23142	,	67.6617	,	45.727	,	3.8981	,	691.591	,	732.182	,	0.182436	,	137.111	,	Middle
231.30844	,	10	,	2525.4065	,	1360.837344	,	343.8719	,	9.79299	,	0.532531	,	102.896	,	3.3056	,	30.503	,	32.603	,	-0.022318	,	-2.23142	,	67.6617	,	45.727	,	3.8981	,	691.591	,	732.182	,	0.182436	,	137.111	,	Middle
223.2123302	,	9	,	2521.8293	,	1365.328185	,	340.8922	,	9.92756	,	0.560856	,	104.256	,	3.1921	,	30.8651	,	32.9651	,	-0.0237617	,	-2.23483	,	66.1524	,	39.6019	,	3.80525	,	665.27	,	731.266	,	0.188426	,	137.536	,	Center
224.6315557	,	9	,	2521.8293	,	1365.328185	,	340.8922	,	9.92756	,	0.560856	,	104.256	,	3.1921	,	30.8651	,	32.9651	,	-0.0237617	,	-2.23483	,	66.1524	,	39.6019	,	3.80525	,	665.27	,	731.266	,	0.188426	,	137.536	,	Center
231.8019904	,	9	,	2521.8293	,	1365.328185	,	340.8922	,	9.92756	,	0.560856	,	104.256	,	3.1921	,	30.8651	,	32.9651	,	-0.0237617	,	-2.23483	,	66.1524	,	39.6019	,	3.80525	,	665.27	,	731.266	,	0.188426	,	137.536	,	Center
237.7548898	,	2	,	2552.057	,	1361.317781	,	350.8379	,	9.91853	,	0.518115	,	100.328	,	3.0387	,	31.7877	,	33.8877	,	-0.0256955	,	-2.26362	,	61.9475	,	41.3895	,	3.97343	,	655.773	,	733.468	,	0.153076	,	134.944	,	Edge
241.8344656	,	2	,	2552.057	,	1361.317781	,	350.8379	,	9.91853	,	0.518115	,	100.328	,	3.0387	,	31.7877	,	33.8877	,	-0.0256955	,	-2.26362	,	61.9475	,	41.3895	,	3.97343	,	655.773	,	733.468	,	0.153076	,	134.944	,	Edge
241.4486148	,	2	,	2552.057	,	1361.317781	,	350.8379	,	9.91853	,	0.518115	,	100.328	,	3.0387	,	31.7877	,	33.8877	,	-0.0256955	,	-2.26362	,	61.9475	,	41.3895	,	3.97343	,	655.773	,	733.468	,	0.153076	,	134.944	,	Edge
240.5296083	,	2	,	2552.057	,	1361.317781	,	350.8379	,	9.91853	,	0.518115	,	100.328	,	3.0387	,	31.7877	,	33.8877	,	-0.0256955	,	-2.26362	,	61.9475	,	41.3895	,	3.97343	,	655.773	,	733.468	,	0.153076	,	134.944	,	Edge
