"month","nation","itemNm","imxprt","weight","dollar"
"202001","프랑스","김","수출",27261.92,444803
"202001","멕시코","김","수출",1071.1,47113
"202001","미얀마","김","수출",1854.279,73643
"202001","사우디아라비아","김","수출",52.8,1469
"202001","아일랜드","김","수출",370.3,11575
"202001","이탈리아","김","수출",65.2,2543
"202001","체코공화국","김","수출",1.41,0
"202001","파라과이","김","수출",640,16340
"202001","캄보디아","김","수출",2391.06,31121
"202001","오만","김","수출",34.8,1312
"202001","카자흐","김","수출",562.35,11469
"202001","홍콩","김","수출",14684.756,370720
"202001","카타르","김","수출",85.125,2848
"202001","남아프리카","김","수출",12.96,642
"202001","에스토니아","김","수출",624.8,21725
"202001","독일","김","수출",16982.914,396561
"202001","라오스","김","수출",1173.7,17735
"202001","대만","김","수출",14983.52,491485
"202001","스웨덴","김","수출",1019.6,24865
"202001","라트비아","김","수출",2430,65952
"202001","네덜란드","김","수출",2126.96,61303
"202001","아르헨티나","김","수출",12,600
"202001","몽고","김","수출",3376.68,90586
"202001","카나다","김","수출",51675.592,1319007
"202001","리투아니아","김","수출",1045.44,38475
"202001","방글라데시","김","수출",88.8,2933
"202001","러시아","김","수출",32253.12,601197
"202001","태국","김","수출",6643.8,123723
"202001","인디아","김","수출",586.94,16847
"202001","인도네시아","김","수출",5784.63,192863
"202001","베트남","김","수출",25355.306,527213
"202001","베트남","김","수입",13.175,389
"202001","괌","김","수출",105.44,2499
"202001","일본","김","수출",196516.87,4829138
"202001","일본","김","수입",130.89,10902
"202001","부루나이","김","수출",215,1111
"202001","필리핀","김","수출",18701.18,299383
"202001","뉴질랜드","김","수출",3588.5,86159
"202001","스위스","김","수출",1693.92,60036
"202001","아랍에미리트연합","김","수출",1387.3,78303
"202001","과테말라","김","수출",331.2,8352
"202001","미국","김","수출",345328.704,7468756
"202001","미국","김","수입",0.7,32
"202001","브라질","김","수출",1117.58,41615
"202001","팔라우","김","수출",20,312
"202001","호주","김","수출",67668.99,867269
"202001","우즈베크","김","수출",480,17284
"202001","이스라엘","김","수출",1961.49,76448
"202001","마케도니아","김","수출",97.94,3785
"202001","싱가포르","김","수출",1726.24,57198
"202001","싱가포르","김","수입",13.6,134
"202001","폴란드","김","수출",8846.8,268621
"202001","중국","김","수출",104846.976,4740573
"202001","중국","김","수입",1.321,2
"202001","쿠웨이트","김","수출",29,448
"202001","노르웨이","김","수출",1299.2,38709
"202001","말레이시아","김","수출",4757.024,120310
"202001","칠레","김","수출",54.74,1206
"202001","파나마","김","수출",1063.98,5972
"202001","영국","김","수출",31649.65,550872
"202001","북마나리아나군도","김","수출",162,6706
"202001","키르기스","김","수출",41,928
"202001","홍콩","기타 김","수출",580,13567
"202001","서사모아","기타 김","수출",16,74
"202001","벨기에","기타 김","수출",22000,60700
"202001","카나다","기타 김","수출",600,4970
"202001","러시아","기타 김","수출",312,5429
"202001","베트남","기타 김","수출",4.57,170
"202001","일본","기타 김","수출",4710,14264
"202001","일본","기타 김","수입",17.306,2739
"202001","필리핀","기타 김","수출",391.38,8559
"202001","미국","기타 김","수출",18483.4,65489
"202001","미국","기타 김","수입",2.37,103
"202001","싱가포르","기타 김","수출",9.6,1118
"202001","중국","기타 김","수출",944,27703
"202001","중국","기타 김","수입",0.6,1
"202001","말레이시아","기타 김","수출",500,9000
"202001","영국","기타 김","수출",4860,35729
"202001","북마나리아나군도","기타 김","수출",40,749
"202001","중국","바지락","수입",244379,375768
"202001","스페인","바지락","수출",66262,311581
"202001","필리핀","피조개","수입",100,420
"202001","중국","개조개","수입",167447.2,422106
"202001","카나다","기타","수입",16790.5,209273
"202001","태국","기타","수출",2352,13260
"202001","태국","기타","수입",51000,88994
"202001","인도네시아","기타","수입",15000,19706
"202001","베트남","기타","수입",43200,72763
"202001","필리핀","기타","수입",15594,92012
"202001","싱가포르","기타","수출",64.75,762
"202001","중국","기타","수입",21996,44513
"202001","필리핀","기타","수입",22320,122534
"202001","미국","기타","수출",360,4756
"202001","중국","기타","수출",21284,28381
"202001","호주","냉동한 전복","수출",110,1715
"202001","일본","삼치","수출",1079,9435
"202001","미국","병어","수출",180,5095
"202001","중국","간","수입",330,662
"202001","이탈리아","어란","수입",21.404,1904
"202001","카나다","어란","수출",24,299
"202001","카나다","어란","수출",24,299
"202001","북마나리아나군도","어란","수출",1,268
"202001","멕시코","삼치","수입",75,105
"202001","베트남","삼치","수출",283176,1041902
"202001","일본","삼치","수출",184764.24,847466
"202001","미국","삼치","수출",4350,17319
"202001","중국","삼치","수출",514972.02,1831134
"202001","말레이시아","삼치","수출",24110,82843
"202001","대만","꽁치","수입",4641889.47,7516153
"202001","인디아","꽁치","수출",315,2485
"202001","필리핀","꽁치","수출",518,2275
"202001","미국","꽁치","수출",3640,8266
"202001","중국","꽁치","수입",164255,325447
"202001","바누아트","꽁치","수입",299236.05,281011
"202001","페루","기타","수입",9000,6300
"202001","대만","기타","수출",77656,21719
"202001","대만","기타","수입",12856,46159
"202001","카나다","기타","수입",47001.9,155225
"202001","베트남","기타","수출",10369,29718
"202001","일본","기타","수출",61204,113041
"202001","미국","기타","수출",134.4,3864
"202001","중국","기타","수출",229920,212061
"202001","중국","기타","수입",2660330,1247638
"202001","아이슬란드","기타","수입",5750.4,15460
"202001","바누아트","기타","수입",3152,10346
"202001","도미니카공화국","명란","수출",20.4,224
"202001","러시아","명란","수입",424352.6,2214384
"202001","베트남","명란","수출",150605.5,1182876
"202001","일본","명란","수출",5750,26131
"202001","일본","명란","수입",1.08,34
"202001","뉴질랜드","명란","수출",136,1511
"202001","미국","명란","수출",2750,20644
"202001","미국","명란","수입",649735.59,2947355
"202001","호주","명란","수출",136,1576
"202001","방글라데시","기타","수입",240,769
"202001","러시아","기타","수입",891076.5,1271528
"202001","베트남","기타","수출",450,1293
"202001","일본","기타","수입",6,1130
"202001","필리핀","기타","수출",100,490
"202001","뉴질랜드","기타","수출",150,1546
"202001","뉴질랜드","기타","수입",12200,46970
"202001","미국","기타","수출",8440,31577
"202001","미국","기타","수입",24124.99,158439
"202001","호주","기타","수출",382.5,1708
"202001","북마나리아나군도","기타","수출",100,1041
"202001","아이슬란드","기타","수입",36750,40733
"202001","이탈리아","기타","수입",2526,29629
"202001","몰타","기타","수입",159.1,2952
"202001","대만","기타","수입",1415,20337
"202001","튀니지","기타","수입",4159.6,37930
"202001","러시아","기타","수입",28243,80661
"202001","터키","기타","수입",2376.1,29005
"202001","베트남","기타","수출",172935.45,414264
"202001","필리핀","기타","수출",11350,12218
"202001","크로아티아","기타","수입",547,9154
"202001","미국","기타","수출",675,2684
"202001","미국","기타","수입",481175.45,1554487
"202001","리비아","기타","수입",234.6,2991
"202001","호주","기타","수입",240,4056
"202001","모로코","기타","수입",272.8,3200
"202001","중국","기타","수출",23216,100826
"202001","스페인","기타","수입",69.8,1169
"202001","러시아","어류","수입",6000,55464
"202001","스리랑카","어류","수출",10,7
"202001","스리랑카","어류","수입",3913.75,28513
"202001","태국","어류","수출",5004,64632
"202001","나이지리아","어류","수출",460,6056
"202001","베트남","어류","수입",186918,609664
"202001","필리핀","어류","수입",2560,12032
"202001","미국","어류","수출",1462.3,27236
"202001","호주","어류","수출",120.88,2520
"202001","영국","어류","수입",1.4,31
"202001","페루","멸치젓","수입",18.8,262
"202001","미국","멸치젓","수출",2069.12,3716
"202001","미국","연어","수출",158,800
"202001","영국","연어","수입",151.284,3336
"202001","터키","송어","수입",20,437
"202001","도미니카공화국","갈치","수출",178.65,1631
"202001","미국","갈치","수출",81.36,1220
"202001","도미니카공화국","고등어","수출",252,2403
"202001","카나다","고등어","수출",288,2853
"202001","미국","고등어","수출",2160.94,20231
"202001","북마나리아나군도","고등어","수출",924,7725
"202001","중국","조기","수출",285,573
"202001","미국","꽁치","수출",95.28,681
"202001","태국","어류","수입",7200,7256
"202001","일본","어류","수입",9.4,182
"202001","미국","어류","수출",532.88,5803
"202001","호주","어류","수출",45.4,332
"202001","북마나리아나군도","어류","수출",181.6,1384
"202001","튀니지","가다랑어 또는 줄무늬버니토우","수출",497660,434232
"202001","러시아","가다랑어 또는 줄무늬버니토우","수출",27000,48440
"202001","태국","가다랑어 또는 줄무늬버니토우","수출",16878000,12914523
"202001","인도네시아","가다랑어 또는 줄무늬버니토우","수출",367974,360571
"202001","에쿠아도르","가다랑어 또는 줄무늬버니토우","수출",3012214,2641362
"202001","베트남","가다랑어 또는 줄무늬버니토우","수출",1728911.6,1293256
"202001","콜롬비아","가다랑어 또는 줄무늬버니토우","수출",415110,357400
"202001","스페인","가다랑어 또는 줄무늬버니토우","수출",749560,631244
"202001","러시아","게살","수입",544.3,52132
"202001","미국","게살","수입",6.232,109
"202001","중국","게살","수입",36,1373
"202001","중국","게살","수입",36,1373
"202001","마카오","게살","수출",84,2239
"202001","영국","게살","수입",0.5,11
"202001","프랑스","붉은 대게살","수출",10387.3,190095
"202001","서사모아","붉은 대게살","수출",135,1621
"202001","대만","붉은 대게살","수출",1231.2,23505
"202001","베트남","붉은 대게살","수출",2250,12492
"202001","일본","붉은 대게살","수출",145530,2363759
"202001","일본","붉은 대게살","수입",3156,67886
