"stdYymm","nationCode","mprcExipitmCode","imxprtSeCode","nationNm","ecoblNm","mprcExipitmNm","imxprtSeNm","imxprtWt","imxprtDollarAmount"
"201811","GH","0303540000","E","가나",NA,"고등어(스콤버 스콤브루스/스콤버 오스트랄라시쿠스/스콤버 자포니쿠스)","수출",2949480,2648609
"201811","GH","1604151000","E","가나",NA,"고등어(조제/밀폐용기에 넣은 것)","수출",0,0
"201811","GH","1605591010","E","가나",NA,"골뱅이(조제 또는 저장처리)(밀폐용기에 넣은 것)","수출",0,0
"201811","GH","0303810000","I","가나",NA,"곱상어와 기타 상어(냉동)","수입",0,0
"201811","GH","0303899099","I","가나",NA,"기타어류(냉동)","수입",0,0
"201811","GH","2106904010","E","가나",NA,"김(조제한식용해초류)","수출",0,0
"201811","GH","1604191010","E","가나",NA,"꽁치(통조림외조제품)","수출",0,0
"201811","GH","0303410000","I","가나",NA,"날개다랑어 또는 긴지느러미다랑어(터너스알라룽가/냉동)","수입",3738,4112
"201811","GH","0303440000","I","가나",NA,"눈다랑어(냉동)","수입",68512,151486
"201811","GH","0304879000","I","가나",NA,"다랑어 기타(냉동한 피레트)","수입",0,0
"201811","GH","1604141019","E","가나",NA,"다랭이류(다랭이/ 가다랭이 이외 기타/조제/밀폐용기에 넣은 것)","수출",0,0
"201811","GH","1604141021","I","가나",NA,"다랭이류(조제/밀폐용기에 넣은 것 이외 기타)","수입",0,0
"201811","GH","1605561010","E","가나",NA,"바지락(조제 또는 저장처리)(밀폐용기에 넣은 것)","수출",0,0
"201811","GH","1604141039","I","가나",NA,"버니토우(기타)","수입",0,0
"201811","GH","1605562010","E","가나",NA,"새조개(조제 또는 저장처리)(밀폐용기에 넣은 것)","수출",0,0
"201811","GH","1604204010","E","가나",NA,"생선묵(게맛)","수출",0,0
"201811","GH","1605542099","E","가나",NA,"오징어 기타(조제 또는 저장처리)","수출",0,0
"201811","GH","0303420000","I","가나",NA,"황다랑어(터너스 알바카레스/냉동)","수입",60570,176111
"201811","GA","0303540000","E","가봉",NA,"고등어(스콤버 스콤브루스/스콤버 오스트랄라시쿠스/스콤버 자포니쿠스)","수출",0,0
"201811","GY","0303899091","I","가이아나",NA,"민어(냉동)","수입",0,0
"201811","GY","2501009010","E","가이아나",NA,"식염","수출",0,0
"201811","GY","2501001020","E","가이아나",NA,"천일염","수출",106400,31920
"201811","GM","0303892000","I","감비아",NA,"갈치(냉동)","수입",0,0
"201811","GM","0307431090","I","감비아",NA,"기타","수입",0,0
"201811","GM","0303390000","I","감비아",NA,"넙치류(간장/ 어란제외/냉동/피레트/ 어육제외)","수입",0,0
"201811","GM","0307521000","I","감비아",NA,"문어","수입",0,0
"201811","GM","0303899091","I","감비아",NA,"민어(냉동)","수입",0,0
"201811","GM","0307431010","I","감비아",NA,"세피아 오피시날리스(Sepia officinalis)ㆍ로시아 마크로소마(Rossia macrosoma)ㆍ세피올라(Sepiola)종","수입",0,0
"201811","GM","1605599090","I","감비아",NA,"연체동물 기타(조제 또는 저장처리)(기타)","수입",0,0
