ymonth,nation,itemNm,imXprt,weight,dollar
202001,대만,클로렐라 효모,수입,1500.0,24057.0
202001,일본,클로렐라 효모,수입,108.0,1617.0
202001,미국,클로렐라 효모,수입,5.65,263.0
202001,카나다,스리루리나 효모,수입,1360.0,28001.0
202001,뉴질랜드,스리루리나 효모,수입,49.5,2373.0
202001,미국,스리루리나 효모,수입,1803.26,60193.0
202001,프랑스,스리루리나 효모,수입,0.25,10.0
202001,인디아,스리루리나 효모,수입,3.419,23.0
202001,뉴질랜드,스리루리나 효모,수입,47.4,3774.0
202001,미국,스리루리나 효모,수입,1053.463,42931.0
202001,호주,스리루리나 효모,수입,383.598,16782.0
202001,중국,스리루리나 효모,수입,400.0,3846.0
202001,프랑스,포유동물,수입,47.0,42619.0
202001,네덜란드,포유동물,수입,6.0,532.0
202001,러시아,포유동물,수입,6.0,1070.0
202001,터키,포유동물,수입,20.0,1480.0
202001,일본,포유동물,수입,1743.0,262740.0
202001,토고,포유동물,수입,44.2,3413.0
202001,뉴질랜드,포유동물,수입,3.0,251.0
202001,미국,포유동물,수입,293.6,367798.0
202001,호주,포유동물,수입,5.0,4037.0
202001,우즈베크,포유동물,수입,14.0,1358.0
202001,이란,포유동물,수입,2.0,288.0
202001,중국,포유동물,수입,129.0,111616.0
202001,영국,포유동물,수입,2.0,307.0
202001,싱가포르,살아있거나,수출,70.0,773.0
202001,중국,살아있거나,수출,159040.0,283777.0
202001,프랑스,김,수출,27261.92,444803.0
202001,멕시코,김,수출,1071.1,47113.0
202001,미얀마,김,수출,1854.279,73643.0
202001,사우디아라비아,김,수출,52.8,1469.0
202001,아일랜드,김,수출,370.3,11575.0
202001,이탈리아,김,수출,65.2,2543.0
202001,체코공화국,김,수출,1.41,0.0
202001,파라과이,김,수출,640.0,16340.0
202001,캄보디아,김,수출,2391.06,31121.0
202001,오만,김,수출,34.8,1312.0
202001,카자흐,김,수출,562.35,11469.0
202001,홍콩,김,수출,14684.756,370720.0
202001,카타르,김,수출,85.125,2848.0
