"ymonth","nation","itemNm","imxprt","weight","dollar"
"202101","가나","고등어","수출",107300,121443
"202101","가나","기타","수입",10,2808
"202101","가나","다랑어","수입",47446.8,241880
"202101","가나","전갱이","수출",108000,106400
"202101","가봉","어류","수입",1.615,26
"202101","감비아","민어","수입",31238.5,196204
"202101","과테말라","생선묵","수출",112.1,821
"202101","과테말라","오징어","수출",12.24,86
"202101","괌","갑각류","수출",1500,10712
"202101","괌","갑오징어","수출",12,480
"202101","괌","건조한 것","수출",4,744
"202101","괌","김","수출",666,8830
"202101","괌","김","수출",911.28,31548
"202101","괌","다랑어","수출",54,360
"202101","괌","다랑어류","수출",216,1507
"202101","괌","달팽이","수출",96,565
"202101","괌","멸치","수출",76,752
"202101","괌","명태","수출",136,655
"202101","괌","미역","수출",38,1085
"202101","괌","생선묵","수출",1704,5070
"202101","괌","수우프","수출",54,322
"202101","괌","식염","수출",378,669
"202101","괌","어류조제품","수출",389.5,946
"202101","괌","오징어","수출",75,1107
"202101","괌","조미오징어","수출",300.4,4960
"202101","괌","조제품한 해조류 김 제외","수출",40,200
"202101","괌","즙","수출",30,73
"202101","괌","천일염","수출",130,201
"202101","괌","캐비아 대용물","수출",75,1094
"202101","괌","태평양연어","수출",200,2494
"202101","그리스","갑각류","수입",26510,92868
"202101","그리스","농어","수입",717.07,12816
"202101","그리스","동물성","수입",19.5,6248
"202101","기네비소","넙치류","수입",2742.5,11825
"202101","기네비소","민어","수입",67648,371039
"202101","기니아","갈치","수입",7218,11046
"202101","기니아","기타","수입",729,852
"202101","기니아","기타","수입",3430,41914
"202101","기니아","넙치류","수입",180468.7,609253
"202101","기니아","다랑어류","수출",8,9
"202101","기니아","돔","수입",5894.5,5655
"202101","기니아","민어","수입",1220085,6279265
"202101","기니아","서대","수입",11164.5,28805
"202101","기니아","어류","수입",22,96
"202101","기니아","어류","수입",30,127
"202101","기니아","어류","수입",3551,3345
"202101","나미비아","갈치","수입",22690,51052
"202101","나미비아","갑각류","수입",16056,165377
"202101","나미비아","곱상어와상어","수입",24325,72975
"202101","나이지리아","가다랑어","수출",280.8,2681
"202101","나이지리아","건조한 것","수출",70,1097
"202101","나이지리아","굴","수출",70,1795
"202101","나이지리아","기타","수입",36,12321
"202101","나이지리아","기타","수출",50,2114
"202101","나이지리아","기타","수출",266.88,1000
"202101","나이지리아","김","수출",129.9,2108
"202101","나이지리아","꽁치","수출",114.24,1261
"202101","나이지리아","멸치젓","수출",20,51
"202101","나이지리아","명태","수출",100,1638
"202101","나이지리아","미역","수출",50,58
"202101","나이지리아","생선묵","수출",246.4,705
