"meanPrice","aptName","siggName","dongName","exclusiveArea","householdCnt","leaseCnt","dongCnt","floorAreaRate","parkingLotCnt"
13.7078947368421,"텐즈힐1","성동구","하왕십리동",84.96,1702,333,21,224,2431
13.88,"서울숲더샵","성동구","행당동",92.24,495,0,3,392,937
6.095625,"답십리청솔우성","동대문구","답십리동",59.74,1542,432,16,258,1377
2.35,"다우하임","동대문구","장안동",29.98,28,0,1,607,22
4.84,"면목삼익","중랑구","면목동",84.99,216,0,3,402,233
4.7,"주함해븐","중랑구","면목동",141.33,19,0,1,206,23
6.355,"용마산금호어울림","중랑구","면목동",84.699,165,0,3,194,201
5.95,"묵동신도1차","중랑구","묵동",84.89,221,0,2,380,247
6.72866666666667,"정릉힐스테이트3차","성북구","정릉동",84.97,522,0,19,179,601
8.0875,"정릉e-편한세상2차","성북구","정릉동",84.4,527,0,10,235,638
7.4675,"월곡두산위브","성북구","하월곡동",84.766,2197,0,30,279,2733
7.561,"두산","성북구","석관동",84.9,1998,0,25,277,2195
5.96263157894737,"SK북한산시티","강북구","미아동",84.86,3830,0,47,271,4804
4.47,"이너스내안에","강북구","미아동",84.96,71,0,1,196,75
6.9621875,"삼성래미안트리베라2차","강북구","미아동",59.38,1330,228,22,239,1580
5.63583333333333,"경남아너스빌(1356)","강북구","미아동",59.964,860,0,11,287,1069
5.99181818181818,"벽산라이브파크","강북구","미아동",114.68,1585,0,19,231,1875
6.417,"SK북한산시티","강북구","미아동",84.92,3830,0,47,271,4804
5.45645833333333,"수유벽산1차","강북구","수유동",84.92,1454,0,13,233,878
7.16807692307692,"삼성래미안","도봉구","창동",84.87,1668,0,18,249,1252
8.04909090909091,"창동신도브래뉴1차","도봉구","창동",84.989,456,0,7,298,664
6.19545454545455,"공릉두산힐스빌","노원구","공릉동",84.9,579,0,8,310,659
3.98273076923077,"태강","노원구","공릉동",49.6,1676,0,21,226,1239
5.17205882352941,"학여울청구","노원구","하계동",59.4,1476,0,16,214,1704
4.67307692307692,"상계현대2차","노원구","상계동",82.68,465,0,4,286,286
5.44521739130435,"상계현대3차","노원구","상계동",84.96,494,0,6,243,400
5.17,"갈현현대","은평구","갈현동",84.87,278,0,2,261,286
2.69,"효민아크로뷰","은평구","대조동",27.51,21,0,1,479,9
7.79230769230769,"백련산힐스테이트1차","은평구","응암동",84.59,1106,78,16,191,1344
5.05964285714286,"현대2차","은평구","신사동",84.83,380,0,3,350,247
5.77,"문화촌현대","서대문구","홍제동",59.94,768,0,4,280,775
6.79134615384615,"홍제원현대(홍제원힐스테이트)","서대문구","홍제동",59.93,939,0,15,269,1352
7.55,"DMC두산위브","서대문구","북가좌동",84.9631,235,0,4,237,269
9.33583333333333,"서강한화오벨리스크스위트","마포구","창전동",84.96,192,0,3,390,335
7.37833333333333,"목동성원(763-1)","양천구","목동",59.85,155,0,2,335,182
10.96,"대원칸타빌2단지","양천구","목동",84.98,392,0,5,299,523
8.30666666666667,"신안(422)","강서구","마곡동",84.97,253,0,3,200,253
5.98,"방화태승훼미리2차","강서구","방화동",83.58,71,0,1,239,84
7.68833333333333,"신도림현대","구로구","구로동",80.01,450,0,3,300,379
5.24,"구로지웰","구로구","구로동",59.651,148,0,2,223,124
5.75,"다울숲","구로구","구로동",84.32,79,0,2,229,91
6.38304347826087,"구로중앙하이츠(1269)","구로구","구로동",82.3019,597,0,5,341,617
5.914,"동아한신","구로구","고척동",84.92,355,0,4,293,448
7.76,"천왕연지타운2단지","구로구","천왕동",101.92,1018,670,16,192,1364
3.89833333333333,"건영2차","금천구","시흥동",61.14,619,0,3,244,434
8.09875,"상도삼호","동작구","상도동",114.63,682,221,5,295,432
11.1466666666667,"우성1차","동작구","신대방동",126.16,1335,0,16,209,1335
8.32975609756098,"현대","동작구","신대방동",84.57,880,0,6,301,892
5.922,"낙성대현대1차","관악구","봉천동",61.74,251,0,3,223,300
6.16,"건영1차","관악구","신림동",74.16,492,0,3,204,492
5.42695652173913,"문정시영","송파구","문정동",35.46,1316,0,10,215,900
5.925,"현대","강동구","천호동",60.76,156,0,2,191,108
16.2,"광화문풍림스페이스본2단지","종로구","사직동",163.33,87,0,1,377,219
7.44264705882353,"종로센트레빌","종로구","숭인동",59.92,416,0,6,187,514
4.72666666666667,"진양","중구","충무로4가",71.93,284,0,1,147,144
8.87882352941176,"롯데캐슬베네치아","중구","황학동",84.92,1870,336,6,557,2902
7.24238095238095,"롯데캐슬베네치아","중구","황학동",59.94,1870,336,6,557,2902
7.709,"한강타운","용산구","산천동",59.69,289,0,3,215,242
1.94642857142857,"용산큐브(도시형)","용산구","문배동",13.01,99,0,1,835,45
6.23333333333333,"태성","용산구","한남동",59.95,40,0,1,0,0
7.61875,"한남아이파크","용산구","한남동",46.2439,10,0,1,787,8
7.61875,"한남아이파크(도시형)","용산구","한남동",46.2439,270,0,1,787,240
7.2047619047619,"마장현대","성동구","마장동",59.91,1017,0,11,334,1096
7.67,"두산","성동구","행당동",59.94,251,0,2,394,210
12.3976923076923,"서울숲한신더휴","성동구","행당동",114.97,1410,0,20,295,1535
8.20588235294118,"벽산","성동구","금호동1가",59.9,1707,0,20,219,2371
11.018,"서울숲대림","성동구","성수동1가",59.885,372,0,6,281,380
9.53571428571428,"트리마제","성동구","성수동1가",25.3284,688,0,4,319,1120
14.01,"중앙하이츠빌","성동구","성수동1가",84.9673,256,0,3,249,294
13.4275,"광장현대3단지","광진구","광장동",84.97,1056,0,10,249,512
5.35,"동북아스위트힐(107)","광진구","광장동",84.64,13,0,1,214,15
4.8972,"전농우성","동대문구","전농동",59.78,1234,0,15,228,1200
6.9225,"동아","동대문구","답십리동",84.72,741,0,7,328,838
10.0355555555556,"장안래미안2차","동대문구","장안동",112.92,1786,0,24,299,2073
8.37365573770492,"장안래미안2차","동대문구","장안동",81.05,1786,0,24,299,2073
7.34764705882353,"청량리신현대","동대문구","회기동",84.96,736,0,8,225,736
6.27833333333333,"휘경미소지움","동대문구","휘경동",84.87,345,0,5,283,401
6.347125,"쌍용","동대문구","이문동",59.99,1318,0,15,343,1529
6.54166666666667,"중앙하이츠빌","동대문구","이문동",59.4,302,0,6,296,387
2.6,"삼성제이드","중랑구","면목동",53.86,26,0,1,220,24
6.91333333333333,"상봉우정","중랑구","상봉동",81.783,375,0,5,297,442
5.8345652173913,"한신,한진","성북구","돈암동",68.13,4515,580,31,276,4932
6.92875,"돈암브라운스톤","성북구","돈암동",59.99,1074,0,16,238,1177
6.82127272727273,"한신,한진","성북구","돈암동",84.87,4515,580,31,276,4932
7.405,"동선브라운스톤","성북구","동소문동7가",59.96,194,0,4,234,228
8.3,"동선브라운스톤","성북구","동소문동7가",84.96,194,0,4,234,228
6.68714285714286,"보문아이파크","성북구","보문동3가",59.49,431,0,8,233,480
4.7655,"정릉스카이쌍용","성북구","정릉동",59.9,406,0,3,373,454
7.04181818181818,"길음뉴타운10단지라온유","성북구","정릉동",84.65,236,23,3,359,341
