"price";"date";"aptName";"dongName";"householdCnt";"floorAreaRate";"parkingLotCnt";"exclusiveArea";"floor"
17.8;"2021-01-01";"개포주공6단지";"개포동";1060;0;300;53.06;3
17.6;"2021-01-01";"삼성";"수서동";680;211;1020;84.97;8
9.1;"2021-01-02";"SK허브프리모";"도곡동";176;629;261;67.57;11
28.5;"2021-01-02";"개포우성1";"대치동";690;178;828;84.81;12
28.5;"2021-01-02";"개포우성1";"대치동";690;178;828;84.81;12
28.5;"2021-01-02";"개포우성1";"대치동";690;178;828;84.81;12
8.05;"2021-01-02";"라이헤스빌";"논현동";13;257;15;82.67;4
8.6;"2021-01-02";"신동아";"수서동";1162;203;325;33.18;11
14;"2021-01-02";"엘에이치강남아이파크";"자곡동";716;150;880;59.96;5
32;"2021-01-02";"타워팰리스2";"도곡동";813;923;2376;144.63;32
28;"2021-01-02";"현대10차(201,202동)";"압구정동";144;228;187;108.15;2
28;"2021-01-02";"현대10차(201,202동)";"압구정동";144;228;187;108.15;2
11.35;"2021-01-03";"삼익";"수서동";645;224;650;49.2;1
12.9;"2021-01-03";"삼익";"수서동";645;224;650;60;2
19.5;"2021-01-03";"상록수";"일원동";740;109;962;74.54;3
9.25;"2021-01-03";"신동아";"수서동";1162;203;325;33.18;13
32.9;"2021-01-04";"도곡렉슬";"도곡동";3002;274;4443;119.8906;18
22;"2021-01-04";"목련타운";"일원동";650;249;975;99.79;7
12;"2021-01-04";"신동아";"수서동";1162;203;325;49.96;8
8.4;"2021-01-04";"신동아(22)";"논현동";644;245;684;35.73;2
7.265;"2021-01-04";"엘에이치강남아이파크";"자곡동";716;150;880;59.96;2
9.595;"2021-01-04";"엘에이치강남아이파크";"자곡동";716;150;880;84.83;12
3.1;"2021-01-05";"대우디오빌";"역삼동";457;966;338;30.03;4
15.7;"2021-01-05";"세곡푸르지오";"세곡동";912;174;1148;84.83;3
7.44;"2021-01-05";"엘에이치강남아이파크";"자곡동";716;150;880;59.96;7
2.3;"2021-01-05";"청담스위트";"청담동";124;199;57;13.425;3
4.1;"2021-01-05";"현대비젼21";"도곡동";232;990;291;32.65;21
18.6;"2021-01-06";"삼성청담공원아파트";"청담동";391;271;554;107.22;13
16;"2021-01-06";"세곡푸르지오";"세곡동";912;174;1148;84.84;15
30.3;"2021-01-06";"신현대9차";"압구정동";1924;0;2800;111.38;5
18;"2021-01-06";"아카데미스위트1";"도곡동";414;996;808;122.07;28
9.875;"2021-01-06";"엘에이치강남아이파크";"자곡동";716;150;880;84.92;14
8.515;"2021-01-06";"엘에이치강남아이파크";"자곡동";716;150;880;74.97;7
23.5;"2021-01-06";"청담아이파크";"청담동";108;423;143;110.18;14
34.5;"2021-01-06";"타워팰리스1";"도곡동";1294;919;3695;174.67;29
6.1;"2021-01-06";"트레벨";"역삼동";45;241;34;33.48;3
38.1;"2021-01-06";"한보미도맨션1";"대치동";2436;179;2906;161.36;9
2.4;"2021-01-06";"한양수자인어반게이트";"논현동";108;249;37;16.2;2
27.8;"2021-01-06";"현대8차(성수현대:91~95동)";"압구정동";515;173;0;107.64;8
32;"2021-01-06";"홍실아파트";"삼성동";384;172;420;108.06;8
20;"2021-01-07";"개포주공7단지";"개포동";1060;0;300;60.76;9
24.3;"2021-01-07";"삼성3차";"대치동";35;222;72;150.03;2
19.8;"2021-01-07";"역삼래미안";"역삼동";1050;276;1066;59.73;14
19.38;"2021-01-07";"역삼래미안";"역삼동";1050;276;1066;59.4;16
28.9;"2021-01-07";"현대14차(203,204,205,206동)";"압구정동";388;194;371;84.98;4
52.7;"2021-01-07";"현대2차(10,11,20,23,24,25동)";"압구정동";960;224;720;198.41;5
3.6;"2021-01-08";"LG선릉에클라트(B)";"삼성동";293;700;161;36.35;15
8.99;"2021-01-08";"SK허브프리모";"도곡동";176;629;261;67.57;12
28.9;"2021-01-08";"도곡렉슬";"도곡동";3002;274;4443;84.9984;4
17.6;"2021-01-08";"동현아파트1~6";"논현동";548;174;620;84.92;10
15.3;"2021-01-08";"삼성";"수서동";680;211;1020;59.86;9
9.935;"2021-01-08";"엘에이치강남아이파크";"자곡동";716;150;880;84.92;11
14;"2021-01-08";"월성빌라트";"삼성동";19;267;14;82.02;2
25;"2021-01-08";"한양1차(영동한양)";"압구정동";936;211;561;78.05;9
28.9;"2021-01-08";"현대14차(203,204,205,206동)";"압구정동";388;194;371;84.98;5
22.5;"2021-01-09";"가람";"일원동";496;109;496;84.95;4
9.1;"2021-01-09";"강남서해더블루";"역삼동";68;370;50;66.04;10
9.3;"2021-01-09";"까치마을";"수서동";1404;208;1410;39.6;2
10.1;"2021-01-09";"까치마을";"수서동";1404;208;1410;39.6;12
9.1;"2021-01-09";"까치마을";"수서동";1404;208;1410;34.44;9
28.9;"2021-01-09";"도곡렉슬";"도곡동";3002;274;4443;84.9984;18
24;"2021-01-09";"미성2차";"압구정동";911;0;1093;74.4;6
18;"2021-01-09";"삼익";"도곡동";247;177;272;104.01;9
20.6;"2021-01-09";"우성7";"일원동";802;157;641;83.69;5
15.5;"2021-01-09";"우성리빙텔";"도곡동";39;853;52;120.21;9
31.5;"2021-01-09";"타워팰리스1";"도곡동";1294;919;3695;164.97;15
35;"2021-01-09";"타워팰리스1";"도곡동";1294;919;3695;164.97;45
7.7;"2021-01-09";"테헤란로대우아이빌(891-6)";"대치동";371;1096;180;59.83;13
41;"2021-01-09";"현대2차(10,11,20,23,24,25동)";"압구정동";960;224;720;162.94;1
22.5;"2021-01-09";"현대3차(61~64동)";"압구정동";432;0;864;82.5;2
26;"2021-01-09";"현대3차(61~64동)";"압구정동";432;0;864;82.5;8
39.1;"2021-01-10";"현대6차(78~81,83,84,86,87동)";"압구정동";1288;210;1120;144.2;7
14;"2021-01-11";"강남데시앙파크";"세곡동";546;169;850;84.95;10
8;"2021-01-11";"갤러리하우스";"역삼동";17;223;15;84.95;1
18.2;"2021-01-11";"동현아파트1~6";"논현동";548;174;620;119.67;1
22.25;"2021-01-11";"삼성동힐스테이트 1단지";"삼성동";1144;276;1529;84.503;1
9;"2021-01-11";"역삼디오슈페리움";"역삼동";60;745;122;46.9;16
25.5;"2021-01-11";"역삼푸르지오";"역삼동";738;283;753;84.9097;7
8.5;"2021-01-11";"이안애빌";"삼성동";19;224;31;106.89;3
26.75;"2021-01-11";"한양5";"압구정동";343;192;172;110.38;1
55;"2021-01-11";"현대2차(10,11,20,23,24,25동)";"압구정동";960;224;720;196.84;6
27;"2021-01-11";"현대3차(61~64동)";"압구정동";432;0;864;82.5;10
41;"2021-01-11";"현대6차(78~81,83,84,86,87동)";"압구정동";1288;210;1120;144.2;7
3.4;"2021-01-12";"LG선릉에클라트(B)";"삼성동";293;700;161;36.35;9
3.4;"2021-01-12";"LG선릉에클라트(B)";"삼성동";293;700;161;36.35;11
18.3;"2021-01-12";"강남한양수자인(4단지)";"자곡동";1304;150;1637;114.32;6
11.25;"2021-01-12";"구산";"청담동";37;248;39;59.4;2
19.6;"2021-01-12";"삼성동한솔아파트";"삼성동";263;0;263;109.51;10
50;"2021-01-12";"아이파크";"삼성동";449;296;1253;145.046;33
8.58;"2021-01-12";"역삼I'PARK";"역삼동";541;273;914;28.246;10
2.98;"2021-01-12";"중명하니빌";"도곡동";111;251;59;22.78;6
25.9;"2021-01-12";"한양1차(영동한양)";"압구정동";936;211;561;78.05;3
37;"2021-01-12";"현대8차(성수현대:91~95동)";"압구정동";515;173;0;163.67;2
9.9;"2021-01-13";"강남서해더블루";"역삼동";68;370;50;80.2;7
