ID,Age,Experience,Income,Family,CCAvg,Education,Mortgage,CDAccount,PLoan
1,25,1,49,4,1.6,1,0,No,No
2,45,19,34,3,1.5,1,0,No,No
3,39,15,11,1,1.0,1,0,No,No
4,35,9,100,1,2.7,2,0,No,No
5,35,8,45,4,1.0,2,0,No,No
6,37,13,29,4,0.4,2,155,No,No
7,53,27,72,2,1.5,2,0,No,No
8,50,24,22,1,0.3,3,0,No,No
9,35,10,81,3,0.6,2,104,No,No
10,34,9,180,1,8.9,3,0,No,Yes
11,65,39,105,4,2.4,3,0,No,No
12,29,5,45,3,0.1,2,0,No,No
13,48,23,114,2,3.8,3,0,No,No
14,59,32,40,4,2.5,2,0,No,No
15,67,41,112,1,2.0,1,0,No,No
16,60,30,22,1,1.5,3,0,No,No
17,38,14,130,4,4.7,3,134,No,Yes
18,42,18,81,4,2.4,1,0,No,No
19,46,21,193,2,8.1,3,0,No,Yes
20,55,28,21,1,0.5,2,0,No,No
21,56,31,25,4,0.9,2,111,No,No
22,57,27,63,3,2.0,3,0,No,No
23,29,5,62,1,1.2,1,260,No,No
24,44,18,43,2,0.7,1,163,No,No
25,36,11,152,2,3.9,1,159,No,No
26,43,19,29,3,0.5,1,97,No,No
27,40,16,83,4,0.2,3,0,No,No
28,46,20,158,1,2.4,1,0,No,No
29,56,30,48,1,2.2,3,0,No,No
30,38,13,119,1,3.3,2,0,Yes,Yes
31,59,35,35,1,1.2,3,122,No,No
32,40,16,29,1,2.0,2,0,No,No
33,53,28,41,2,0.6,3,193,No,No
34,30,6,18,3,0.9,3,0,No,No
35,31,5,50,4,1.8,3,0,No,No
36,48,24,81,3,0.7,1,0,No,No
37,59,35,121,1,2.9,1,0,No,No
38,51,25,71,1,1.4,3,198,No,No
39,42,18,141,3,5.0,3,0,Yes,Yes
40,38,13,80,4,0.7,3,285,No,No
41,57,32,84,3,1.6,3,0,No,No
42,34,9,60,3,2.3,1,0,No,No
43,32,7,132,4,1.1,2,412,No,Yes
44,39,15,45,1,0.7,1,0,No,No
45,46,20,104,1,5.7,1,0,No,No
46,57,31,52,4,2.5,1,0,No,No
47,39,14,43,3,0.7,2,153,No,No
48,37,12,194,4,0.2,3,211,Yes,Yes
49,56,26,81,2,4.5,3,0,No,No
50,40,16,49,1,1.8,1,0,No,No
51,32,8,8,4,0.7,2,0,No,No
52,61,37,131,1,2.9,1,0,No,No
53,30,6,72,1,0.1,1,207,No,No
